World_Wide_Web	-1.94681557493244 -6.50705194830137 3.32221835401371 -9.97879389259198 7.1882792440682 -3.12736482227878 7.07190500093589 1.26415940685922 -1.2282993668924 10.3075117043334 -13.0597923392525 1.66530620728527 2.3125846752145 -17.3406220468564 -0.173901892869955 2.17906583459119 -5.74964738220386 -3.4692661124297 -4.57886776438551 -10.229020566864 -0.757375778100145 -7.46375826961227 0.327256466156219 -2.37969504814777 3.66231237168408 15.8507480721062 -7.41151782015381 -10.3948615607434 4.56613387023514 4.9173198889946 -2.4869969207575 -10.9800044911985 3.45498350788698 -2.17716896949324 3.58361086185166 0.553802737346608 -1.83471538482113 -12.4636418151977 0.0602029727261611 16.2020855876698 -5.1456396065143 -1.96224987207816 2.14354365561596 3.97453854829276 -5.78430459889482 1.28631531282494 -7.43110198533681 7.64158593776175 -1.51021368920529 -3.77787556195706 3.03016991646553 9.23708297041911 -6.47162210111383 5.68622586817982 -2.15775404100264 0.178783598041981 -0.811528286802758 3.84195813388912 2.28363603542723 -4.82783917912739 -2.11622787723221 14.6315786635333 -7.84530800303238 -3.01412607810145 -2.26946987341435 5.25138518406137 1.74938132330431 -0.798685600420418 1.54715651417395 1.82979718724894 -7.09905766245459 -0.527421820107852 -10.3824808456181 5.16012669496797 -4.89430697853948 1.39719477424667 -7.4804250877679 -4.07107402818256 -0.373482696673801 -5.27791606072184 -6.4169795965891 -8.43108194453038 -3.19528045283543 -0.749850298640539 0.503423746527237 -0.463082195364763 0.531253601717292 -1.72556318676913 7.72225214615317 -10.6257671138496 5.98298486320952 -11.9284556470908 -5.14458240837095 -4.30253307368267 4.58630020687926 4.97724248980848 0.914829609531551 11.4458367318553 3.36410060340945 -10.6457054995278
Accounting	-2.50547158708797 -5.7900209069242 2.99853059322817 -10.8140435316985 7.01605064068962 1.06444329015281 6.46212014344313 3.52774589250194 -3.00563214801722 10.9489186051487 -11.6640431934714 1.11390920206297 2.64627542119224 -16.4120800752715 -1.0945491296291 2.278107630763 -6.09037451510332 -4.22431254016967 -7.20439472256757 -11.3196193840557 -0.612799939999814 -8.70467590357535 1.68463799281521 -1.91048393422793 4.83071615217321 15.444005739424 -5.90269488120546 -7.84299783420847 3.22291224490325 3.68431761116684 -2.33433298843183 -9.65543611253065 4.35872801959342 -5.12448168647866 2.82306668200939 1.49068498433838 -0.101155685835683 -11.514186530673 -2.03974767925652 16.8800975531971 -3.4300135271821 -4.21977716610497 1.67639713187927 4.44110331536585 -2.76300885239983 4.6493838492576 -7.20271245403915 8.29832620939176 -0.827173849890511 -4.01548417753448 3.36326034672161 8.37119712268501 -8.43579784546179 7.45624090885034 -1.5504506228464 1.72668486395074 -2.7306291649897 1.96451472329407 1.14454906844805 -4.25715045594259 -1.87616485846948 13.8192546396778 -6.9210708554147 -1.78125203829283 -1.73696981238133 3.76563856646024 1.48645470652434 -2.35478084845978 1.39723310537213 2.86627073605545 -8.69944906685572 -1.50625845259467 -10.2075136294783 5.10409613389559 -5.81783172860982 0.297325546732241 -5.92785378988074 -4.70512050425699 -1.85179922492181 -2.86933315335481 -6.81449408948069 -8.85722442295132 -2.94274018721734 -2.42803788590547 -0.355523133547376 -0.288779202750983 -2.58443211615266 -0.379814598343005 7.09910141081931 -11.0106200468358 4.40083703186223 -10.070159866847 -4.35832488213304 -0.848542339683059 3.66177403063835 4.87657775191822 -2.49856963060925 12.0326068538111 2.04708645882055 -10.0014789756799
Acoustics	-2.67838981250083 -5.34239534187451 5.73208906967915 -8.30477959158696 6.50866595437722 -0.761222632830281 7.21144078424579 3.24005162448746 2.24153221552023 8.9460075464774 -11.8664521822327 1.800438893763 0.124749513895743 -15.4522807087913 -2.37111683773159 -0.249007834020069 -9.69108450255443 -2.36784804775934 -3.33107438592598 -10.4352955718171 0.233538685447698 -9.15456147119938 0.594682466721225 -1.98224890787647 3.42535971459061 13.5709799018122 -6.50295814622228 -10.4871766403911 3.20578654958276 2.50585031893947 -4.12035470336453 -10.099543715094 0.269483781415716 -3.4727885749943 7.57684092596419 0.749630870498291 -0.819591844045826 -13.5472201966275 0.830781904566643 16.6334242824367 -6.75690906830022 -3.01086001352883 2.45471129884984 2.87745458217324 -6.51118340119166 3.19201710685373 -7.0504316639911 6.93094627120996 -2.88814128773153 -2.9775283915103 0.666374353017918 8.21378818238345 -6.69634794075933 7.56878597884591 -1.53564284141363 -0.631716588389637 -2.57343426131417 4.57293353242747 3.7473009009361 -7.9426432910742 -2.78757172564484 14.3610408703734 -7.88157282529622 -5.17775872656658 -4.04133188000663 3.47717921644196 0.217413885148482 -0.800780623540649 1.16192837750632 4.099103079614 -5.66239919226002 -0.420555684365185 -10.7409667332776 4.79351597749355 -4.02662790745738 1.91008497637739 -7.15698111884734 -1.35172694313247 1.74218165639111 -4.14893166493864 -6.95574455179624 -12.4669489209103 -2.53379914591495 -1.06615913890146 0.0681388282091383 -0.355097278275308 -3.14766002419506 -0.756378923928565 6.59340471535999 -10.9432436440127 6.60612819816343 -10.5565384157823 -4.71071933953511 -1.3740315282301 7.04544744683797 4.75550942572491 -1.94548139860426 11.364803652698 2.66764338265483 -7.97035840604099
Actuarial_science	-2.13087369314388 -5.49578593740922 4.81288417406662 -10.0628683464176 7.20677603536224 -0.247723029711663 4.67220664824215 3.72096090272129 -1.94510651093193 9.50333467601543 -12.2594767924182 -0.616722775332835 3.74704608125035 -17.0784421346885 -0.186801316288321 2.82393920139687 -6.24127729307738 -4.42532615404657 -5.51476659612457 -10.3241784661278 0.519504337228241 -7.91564707586677 0.270334413063191 -2.90719567523869 5.5213921424025 13.6841747989614 -5.67512460509746 -7.72376066436149 2.74122403141622 4.92338292683473 -2.17203947705747 -7.93878918302587 3.92899109632044 -4.63887298291008 4.18165225633454 1.32164344324666 -1.10229039425741 -13.7333904838735 0.114876699038041 15.7203011211885 -2.73703238647645 -3.68276878183832 3.10408204809869 3.64564987242893 -2.94043433388846 5.16160090708372 -6.48033484534876 7.06086286032384 -0.374805056673237 -3.2980466283733 3.36939689867459 8.20839043921635 -6.90526226394957 5.80597546821232 -2.49696598999078 1.12157993416737 -3.25260001814528 1.08335234651139 0.0947784581729171 -5.06494062575162 -1.87160453163332 13.4391585210913 -5.93247701438243 -2.68209740924105 -1.55393912374968 3.391713031651 2.12027132027331 -2.58821645097109 0.883096018135941 1.98516278313294 -6.56241581194649 -1.40541961963087 -10.1137385153678 6.47851080137436 -4.27741198311852 0.987965130417571 -6.95677404207978 -4.08577365985047 -1.48283953647621 -2.91654848926931 -6.27089279748575 -7.68169150197515 -1.53399441847484 -1.24947051133907 0.16090112191027 0.351827716454163 -1.83004065190888 -1.01322977707272 6.76320085300247 -11.2315821975666 7.00450746540775 -9.51786299217789 -3.95596962080579 -2.38427401187706 5.07945811705022 3.98776578015135 -1.9936054156786 11.4830535747131 0.913461733188875 -9.93279652977794
Zoology	-3.62712907513051 -4.99551914611953 2.89260973469011 -8.77259485387547 9.32880794684519 -0.583982259018613 7.38964915386516 2.71962646661646 0.305687595454074 11.5673643338939 -12.4605965733264 0.804283226224489 0.34700217852197 -17.1967913647318 -0.497544007550377 0.339989779631565 -9.33503462787425 -3.66000645271454 -4.63058333487146 -11.3919567349781 1.56997882233989 -7.50310197054548 0.272035052764321 -4.59647972109763 4.00350660352607 16.386681566257 -5.53061599872106 -6.46323469981552 0.498759822213109 1.2489521908593 -3.42977067773947 -9.24175442226778 1.57259223480509 -3.36330324865909 5.20521276381089 3.20592453928788 -1.96238041392248 -10.6919980901646 0.0226663585103448 15.1345534796222 -3.56728479740937 -2.72798371339194 1.52194999996201 5.2507586513459 -4.33864851972091 2.60556290125543 -5.36799528099089 7.63734678007843 -3.20220239423464 -3.86810722070283 3.34591867631331 7.60657507763935 -9.33877420416418 5.91363880911409 -4.23490413180464 0.192440876692856 -1.10840923558044 3.00932605937225 2.71458386966498 -6.01652573908765 -1.40518970024362 13.3934739816176 -6.783329807438 -2.38088468666207 -3.38441217196242 1.96676693475571 1.96945493278014 -1.06475809700705 1.83316471066562 0.649199591434649 -6.28850234814057 -1.31283852969741 -10.0389179659561 5.39027794047228 -5.3605594086849 2.55682645527665 -7.06691166677279 -5.27057838199789 0.73008733388812 -7.12088510842715 -5.82964414076735 -10.204696295028 -2.64203556869185 -0.290408016236216 2.20505230322668 0.137369665604963 -2.73303386347843 1.76764807237312 5.68916819088233 -11.4927774271596 5.68084542686478 -10.5646916655904 -3.51306865074037 -5.26472647086701 6.98395641448169 4.19328931956159 -1.34867928414998 10.6294836219569 1.09037361065599 -10.6986066421977
Advertising	-2.83251923762442 -6.61821402123904 4.50454491482449 -9.84802354860531 6.86316024072264 -0.758005157487484 7.37579065870148 2.7128301886118 -1.45699846360207 10.8604918966338 -14.9631552547819 0.235676756992724 1.99144145420848 -17.6547030805806 0.724433699876711 2.68063222255846 -6.18632036863287 -3.79663359796925 -5.93581386027564 -12.0370225810052 -0.871650958350194 -8.58416577671565 -0.2936351734893 -4.43901958217823 3.82567319721923 16.5028890898562 -6.27622777412219 -10.2460256154655 3.53179571488967 3.76209306072136 -4.16034170151055 -9.45223551678486 2.48494229064806 -3.71525074205302 4.35655795707593 1.73790122442847 -3.11278701556361 -15.4547293756611 0.769264453662697 18.8169669810626 -4.02186794538056 -2.90590143188612 2.05479622093205 1.31865497675432 -5.35531991207043 3.61434538217809 -7.71620500557664 7.85889486483475 -0.824045636768806 -3.47780703830619 3.76536494468578 9.87351699274098 -7.78042343276875 6.50172185780729 -1.16384649182816 -0.451745072409675 -2.94389736776424 2.30345808090318 2.10470615782953 -6.90758319461977 -2.94087977786022 15.382522897141 -8.32482494122677 -4.58229455329207 -2.16932991660341 4.23203050030823 2.20354509244109 -2.0210588872708 1.82082023806825 1.72683023330506 -8.45286245522098 -1.51848869901407 -10.9473677452087 5.3283412913331 -5.19823342925219 0.781270149181207 -6.37458523005716 -4.21311490524821 -0.665547086632889 -3.47801962236024 -7.7898219033326 -9.40897161191121 -2.76788919805094 -1.87189730020933 1.79933109746561 -0.358986163547313 -0.35366345467954 -1.71894139124051 8.35314570358394 -9.98489659969983 6.10784140951398 -13.7463901583014 -5.57989123985268 -3.22710427121457 4.14580481753513 5.5286159578713 -0.807642498691678 11.6194219357384 3.27764704501919 -11.8382164400595
Aeronautics	-1.46731306410195 -4.70309422183593 5.91515694295761 -9.42783598060337 7.2653443533919 0.475746169850065 8.43729774938388 2.60928670528212 1.26352311431379 10.4535518613582 -13.8787805523882 2.52967519350213 1.94812732050241 -16.5550950517802 1.85670926322677 1.23739225891024 -7.51376797401845 -2.16203712330819 -5.55397159851572 -12.2074914160921 -0.41037176709236 -9.08414402473306 0.486734685120231 -4.6469067846232 3.75296510472627 16.4947440194557 -6.83967660310753 -11.3992856778445 3.72495984387259 4.16069127159268 -3.44618899621487 -8.98507785569401 0.209363966268636 -5.95103964714804 4.82019947001374 1.7476538483846 -3.4007690128977 -15.3307593844533 2.06333741835156 19.0685546084411 -4.20145318161964 -3.8490680639983 -0.405865281758375 2.45975041798139 -7.62952107418994 3.8322478367442 -9.44468237337773 10.0757157539982 -1.26419085895347 -2.08801263198145 3.16316305746062 10.9095543383829 -8.27782493585775 6.46338213791669 -4.29433825287434 -1.82974581896981 -0.00392084090366848 2.25883513648786 1.88364015416499 -9.43078557228654 -0.1826598764058 17.8472642836408 -10.0449477924021 -2.77344152007422 -4.92195444212841 5.32568578332069 2.37408597095221 -3.07364043802658 -0.0936852049248538 0.525710720612152 -4.61801169624185 -1.30150454743394 -9.83214126273625 4.6111706816861 -5.77532651380028 1.83481297095862 -8.61467759360445 -5.20870721195509 2.30113992249848 -3.97445912206384 -7.20255504533106 -11.5344771764074 -3.74656279307603 -0.80027371815517 2.50288816103843 -0.308814408529527 -4.3682186790199 1.4816231878885 8.06955474114353 -11.7116528912695 6.51628754599612 -11.7377929847033 -3.19387013656206 -3.0887313149751 5.62658785636498 5.7464603708181 -3.75942294909246 12.3442269000282 3.3391131819033 -9.98902480432964
Aerospace_engineering	-1.86408296220572 -3.95096623666292 4.66374967630057 -7.87600273447446 5.98005615706534 0.580105172251922 6.20487748037057 2.42293910998091 0.377314248171984 7.73328732383148 -10.1981716315408 2.11174940033959 1.7337601526979 -12.8078057100772 0.634438864942212 0.656671282749658 -6.04730093188456 -1.63998112104265 -4.0205089533014 -9.4601707620323 -0.280698324673464 -6.82005501760488 -0.0723284169346273 -3.23039301729526 4.02764631926807 11.7161403065413 -4.11985342392271 -9.97871719264461 3.19641031536908 3.14911179698215 -2.53405449602415 -6.94109366510302 0.459921608637582 -4.5565700989787 3.65712463982823 0.444446571708269 -1.49771095129184 -10.2689298901265 1.44204622416446 14.284058329064 -2.73182700062478 -2.87559359268084 -0.601962727392798 2.62740565560585 -6.03890515589836 2.3121215795254 -8.08976423072415 7.94620078450735 -0.687997283965638 -1.48603144898171 1.83223622997103 7.50950624859634 -6.93777339995869 4.65928745806822 -3.25175291461632 -0.908158032604308 -0.284900347853356 1.70159605554991 1.07297060420384 -6.82602532235104 -0.626343880728332 13.4797758497171 -7.15122053576155 -1.69859710469193 -3.10275114379557 3.60001607812252 1.44878300471519 -1.31980347996194 -0.668215712348199 0.524350844257469 -3.51249124486475 -0.853253575933267 -7.63697004598972 3.77510334409016 -4.1570013018381 1.82911583671121 -6.44513508788306 -4.50599126150983 1.40231588067049 -3.18563306445422 -5.21551128286383 -8.85754027226452 -3.62802712414523 -1.09243269941122 1.00512837283152 -0.873607836102484 -2.96789595098906 0.451546656131351 5.32923119561244 -10.1899328423897 4.90256936775708 -9.65596765882004 -3.59217307256245 -2.61129215196712 4.21916732885634 4.47750861462891 -3.58937862005213 10.4668911268668 2.1874588348744 -6.99996474095864
Aesthetics	-3.7309154455012 -6.26346660950459 4.18359269989216 -8.65490405614245 7.96279959303284 1.01208954445459 7.92635790446759 1.90991342288742 0.185457510831576 9.90069869414542 -16.2116916303115 0.617458103398596 2.23770427281639 -18.3764334736556 -0.222042854140984 0.446408994210419 -7.18398797576363 -5.45988424043188 -4.50913227305539 -12.0170590317318 0.0239311953376563 -9.13749837105897 1.44621824053549 -4.35474038300063 5.42350080674231 17.3655766685045 -7.10997796380658 -7.79046225716367 2.66216670597983 2.69614175304597 -6.29334549805928 -7.58027968214998 1.0242418077705 -4.43218568299078 5.01290505274378 1.01720290296747 -1.37209445447815 -13.2478685221605 -0.739408952890179 19.1453712303332 -4.71686587781893 -3.89379668493471 4.5549080263666 1.78171986267042 -3.93102232129451 4.45792918830512 -6.46594929119543 6.92343982000953 -1.41401370791202 -4.4562497090863 3.25630832471049 8.34711024270199 -8.91672675521211 6.37038825629957 -2.81489008377201 -0.755257844680077 -3.74644659551402 4.24083366340777 1.87910251167498 -7.71799957783443 -3.68418024651861 14.1664742289208 -8.64697625212883 -3.66153167229676 -3.53023638630912 4.74791336698891 3.28325257834993 -0.499078109040678 0.640331048792653 0.887587084788495 -7.72747786148997 -2.57198035617061 -12.3882821189784 5.62942201814976 -5.80923504136107 1.37694741017112 -8.00486095961894 -2.93783422337989 -0.513878534728259 -5.55913109554094 -7.06626312998441 -10.1748586552286 -3.73601063876569 0.786744842883737 1.58585585018395 -0.17851934995647 -1.51279566185462 1.83618439958475 5.338642927422 -10.0449651009895 5.35504399125605 -11.45182648805 -2.79781932473458 -4.72804909909504 7.79492865410527 3.5696265834792 0.163820884220955 11.9698760674116 3.29214075669402 -12.1029757612733
Agricultural_economics	-2.63908176217374 -3.84343501234486 3.96714409039876 -7.4136795536847 5.62658355952148 0.795464511564182 5.49136989433374 3.38743054402507 -2.56192419912831 8.059437430414 -10.7091340787456 -0.237015365396685 3.39859753696599 -13.3379637484846 -0.257066119242978 1.5991157714093 -6.66763926418853 -2.24703479298908 -5.30899268887167 -8.29434304658777 -0.221128458630364 -3.92890205219543 -0.71078340288745 -3.06598615821445 3.83352625544994 11.7690800416452 -3.68048745747774 -4.75688320002544 1.32029411618803 4.42474721637406 -3.289476799075 -6.43192108690332 2.83830517411037 -3.42637222809038 3.1105216438408 0.260702415038962 -0.561526581656967 -8.5122817327637 -0.178842891734553 12.1179168302926 -1.91869384999759 -2.85413116353031 0.839079959247293 3.95915714670294 -1.63844281699626 5.10581979703021 -5.45383729501819 6.40767599153086 0.0444488652289075 -1.151476642634 3.24180074883746 7.28138697609398 -4.87016787578561 5.11117997872695 -1.99338298191178 -0.148323511036758 -2.47761072978707 0.677537178591387 0.433313172640857 -3.27439147371245 -1.31891265958978 10.8614444412617 -4.81321955776651 -2.71761615561885 -2.04734998362404 2.20906190492938 2.00047464165579 -1.78155585470522 1.7555380191722 2.65249592166927 -5.56228532820978 -0.564472961270551 -8.19435215915094 2.86523288531888 -3.88382294196928 1.67300390905066 -5.90683350111966 -3.9181317284439 0.287951092692245 -1.87080841641711 -4.41784336835731 -7.12131749787498 -1.99020512816645 -0.450712797496894 1.98393517852258 -0.774631248356759 -0.938843223552346 -0.832003183610059 5.48798916914912 -8.7129952424897 5.16687432958029 -8.81389229442656 -3.81782461114973 -2.4171518844809 4.54852411894527 2.21250987675042 -2.29143744302293 9.40264416696343 0.717079938411375 -8.53857857928233
